artist,endtime,starttime,timezone
Dan Zanes,--------,19:00:00,America/New_York
EVAN + ZANE,21:00:00,18:00:00,America/Los_Angeles
Richie Furay,22:00:00,21:00:00,America/New_York
Jon McLaughlin,20:45:00,20:00:00,America/Chicago
Giant Rooks,23:00:00,21:00:00,Europe/Paris
The Cassandra Complex,21:00:00,18:00:00,Europe/London
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Drive-By Truckers,--------,18:00:00,America/Los_Angeles
Aaron Lewis,--------,21:00:00,America/New_York
Bad Bad Hats,21:00:00,20:00:00,America/Chicago
Patti Smith,--------,21:00:00,Europe/London
Sara Evans,--------,14:00:00,America/Chicago
Soraia,--------,20:00:00,America/New_York
Heart of a Coward,22:30:00,21:00:00,Europe/London
Wallows,--------,19:00:00,Europe/London
Skip Ewing,--------,19:30:00,America/Chicago
GO NOW!,--------,20:00:00,Europe/London
Mad Dog Mcrea,--------,20:00:00,Europe/London
Robyn Hitchcock,--------,20:00:00,Europe/London
Sofi Tukker,--------,15:00:00,America/New_York
Amanda Shires,--------,18:00:00,America/New_York
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Alex Williams,--------,19:00:00,America/New_York
Beat Root Revival,20:30:00,19:00:00,America/Chicago
Oh Susanna,20:30:00,19:00:00,America/Vancouver
Susan Werner,12:35:00,12:05:00,America/New_York
Sierra Ferrell,16:25:00,15:55:00,America/New_York
Mick Flannery,18:30:00,18:00:00,America/New_York
Vanessa da Mata,21:30:00,20:00:00,America/Sao_Paulo
Kíla,20:30:00,20:00:00,America/New_York
Sonia Leigh,20:30:00,20:00:00,America/Los_Angeles
The Suitcase Junket,20:30:00,12:00:00,America/New_York
Breabach,13:05:00,12:35:00,America/New_York
Watkins Family Hour,13:40:00,13:10:00,America/New_York
Steve Gunn,17:10:00,16:40:00,America/New_York
Lindsay Ell,--------,20:00:00,America/New_York
Plain White T's,--------,14:00:00,America/Chicago
TJ Jackson,15:00:00,14:00:00,America/New_York
Smooth Hound Smith,--------,17:00:00,America/Chicago
Struggle Jennings,21:00:00,19:30:00,America/Chicago
Fast Romantics,22:30:00,21:00:00,America/Toronto
Greensky Bluegrass,--------,20:00:00,America/Chicago
JAR OF FLIES (the ultimate AIC experience),--------,17:00:00,America/Los_Angeles
Griffin House,--------,19:00:00,America/Detroit
Seth Glier,--------,19:00:00,America/New_York
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Say Hi,--------,18:00:00,America/Los_Angeles
Francois Van Coke,22:00:00,20:00:00,Africa/Johannesburg
Griffin House,--------,18:00:00,America/New_York
The Railbenders,20:00:00,18:00:00,America/Denver
Arlo McKinley & The Lonesome Sound,--------,20:00:00,America/New_York
Gabe Dixon Band,--------,20:00:00,America/Chicago
William Prince,22:00:00,21:00:00,America/New_York
Abbie Gardner,16:00:00,15:00:00,America/New_York
Lankum,--------,21:00:00,Europe/Dublin
Screaming Orphans,--------,17:00:00,America/New_York
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Ímar,13:05:00,12:35:00,America/New_York
Niteworks,13:05:00,12:35:00,America/New_York
rura,13:05:00,12:35:00,America/New_York
East Forest,21:00:00,20:00:00,America/New_York
Caleb Lee Hutchinson Music,--------,20:00:00,America/Chicago
Oscar Jerome,--------,20:00:00,Europe/London
Grace Kelly,20:00:00,19:00:00,America/New_York
Erin McKeown,21:30:00,20:00:00,America/New_York
The New Deal,--------,19:00:00,America/Denver
Naked Giants,--------,20:00:00,America/Los_Angeles
Super8 & Tab,22:00:00,20:00:00,Europe/Helsinki
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Ari Lennox,--------,19:00:00,America/New_York
Tony Momrelle,--------,20:00:00,Africa/Malabo
Sons of Serendip,--------,19:30:00,America/New_York
Little Boots,--------,17:00:00,Europe/London
Xenia,--------,15:00:00,America/Los_Angeles
Catherine MacLellan,21:00:00,20:00:00,America/Halifax
Puerto Candelaria,21:30:00,20:00:00,America/Bogota
James Maddock,14:30:00,13:00:00,America/New_York
Pete Yorn,--------,14:30:00,America/Los_Angeles
Dave Chappelle,--------,12:00:00,America/Los_Angeles
Greensky Bluegrass,--------,20:00:00,America/Chicago
Sara Evans,--------,19:00:00,America/Chicago
Aaron Lewis,--------,21:00:00,America/New_York
Phil Beer,--------,20:00:00,Europe/London
Phil Beer,--------,20:00:00,Europe/London
Wallows,--------,19:00:00,Australia/Sydney
David Myles,22:00:00,20:00:00,America/Halifax
Cory Marks,18:00:00,17:00:00,America/New_York
Kruger Brothers,--------,19:00:00,America/New_York
Amythyst Kiah,21:00:00,19:00:00,America/New_York
The String Cheese Incident,--------,20:00:00,America/New_York
Ngaiire,--------,21:00:00,Australia/Sydney
Teada,10:30:00,10:00:00,America/New_York
Macy Gray,--------,13:00:00,America/New_York
Michael Brun,--------,19:00:00,Africa/Malabo
GONDWANA,--------,20:30:00,Africa/Malabo
Amythyst Kiah,21:00:00,20:00:00,America/New_York
Ednita Nazario,--------,20:00:00,America/Puerto_Rico
Ron Pope,20:30:00,19:30:00,America/Chicago
Bowling for Soup,21:00:00,20:00:00,America/Chicago
Della Mae,10:00:00,09:30:00,America/New_York
Dash Berlin,--------,20:00:00,Europe/Amsterdam
James Keelaghan,14:40:00,14:10:00,America/New_York
Dexter Romweber Duo,20:00:00,19:00:00,America/New_York
Michael Lington,18:00:00,17:00:00,America/Los_Angeles
Ana Egge,--------,20:00:00,America/New_York
Andy McKee,20:30:00,20:00:00,America/Chicago
Brandy Clark,--------,18:00:00,America/Chicago
Megan Slankard,--------,17:30:00,America/Los_Angeles
The Aquadolls,18:20:00,18:00:00,America/Los_Angeles
Ryland James,18:00:00,17:00:00,America/New_York
Jeff Coffin,20:00:00,19:00:00,America/Chicago
Amythyst Kiah,21:30:00,20:00:00,America/New_York
SASAMI,--------,19:00:00,America/Los_Angeles
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Brooklyn Rider,--------,18:00:00,America/New_York
Zane Carney,21:00:00,18:00:00,America/Los_Angeles
Rebecca Downes,22:30:00,20:00:00,Europe/London
Newton Faulkner,--------,09:00:00,Europe/London
Pete Yorn,--------,16:45:00,America/Los_Angeles
Plain White T's,--------,19:00:00,America/Chicago
Hot Chip,--------,20:30:00,Europe/London
Sara Evans,--------,18:00:00,America/Chicago
Sara Evans,--------,19:00:00,America/Chicago
Port Cities,22:00:00,20:00:00,America/Halifax
Mo Kenney,22:30:00,20:00:00,America/Halifax
Nick Perri & The Underground Thieves,22:00:00,20:30:00,America/New_York
Dash Berlin,--------,20:00:00,Europe/Amsterdam
Academy of Ancient Music,--------,19:00:00,Europe/London
Jaime Wyatt,--------,20:00:00,Africa/Malabo
